,results.gg
,sec/op,CI
StudentVersion/512x512x1000-1-12,37.139427738,1
StudentVersion/512x512x1000-2-12,24.506937955,1
StudentVersion/512x512x1000-3-12,20.762493734,1
StudentVersion/512x512x1000-4-12,18.075111832,1
StudentVersion/512x512x1000-5-12,16.697820374000003,1
StudentVersion/512x512x1000-6-12,15.345306542000001,1
StudentVersion/512x512x1000-7-12,14.552329695000001,1
StudentVersion/512x512x1000-8-12,13.788958604000001,1
StudentVersion/512x512x1000-9-12,12.990313003,1
StudentVersion/512x512x1000-10-12,12.408325235000001,1
StudentVersion/512x512x1000-11-12,11.766099186,1
StudentVersion/512x512x1000-12-12,11.414204579000002,1
StudentVersion/512x512x1000-13-12,11.023517032,1
StudentVersion/512x512x1000-14-12,10.59418076,1
StudentVersion/512x512x1000-15-12,10.281961588000001,1
StudentVersion/512x512x1000-16-12,10.026531063,1
geomean,14.665203056945902
